user,pred_ns,ground_truth_x,common_items,pred_no_ns,items_in_ns_not_in_noNs,items_in_noNs_not_in_ns,ns_higher_ranked,noNs_higher_ranked
33,"[1069, 376, 57, 1198, 3725, 4258, 3795, 1649, 2092, 3429]","[792, 797, 482, 781, 674, 283, 791, 787, 780]",[],"[337, 482, 522, 1019, 302, 1220, 781, 1694, 677, 420, 780, 2529, 923, 316, 283, 680, 683, 1874, 797, 310]","[4258, 3429, 2092, 1069, 3725, 1198, 1649, 3795, 376, 57]","[522, 780, 781, 923, 283, 797, 1694, 420, 677, 680, 683, 302, 310, 316, 1220, 337, 1874, 2529, 482, 1019]",[],[]
1027,"[514, 757, 3002, 1440, 3744, 2381, 3579, 364, 1512, 1915]","[4169, 1482, 1661, 395]",[],"[1284, 1488, 1291, 3547, 2084, 2258, 2969, 3187, 1558, 629, 1662, 933, 3160, 2025, 384, 381, 1492, 1287, 2033, 1914]","[3744, 1440, 514, 1512, 364, 2381, 757, 3579, 3002, 1915]","[384, 1284, 1287, 1291, 1558, 2969, 2084, 933, 1488, 2258, 1492, 3160, 3547, 2025, 2033, 3187, 629, 1914, 381, 1662]",[],[]
209,"[3214, 1656, 603, 3822, 3333, 1906, 444, 175, 699, 2701]","[2616, 171, 202, 172, 176, 2342, 2614, 2615]",[],"[176, 1094, 182, 966, 173, 345, 50, 172, 1684, 1049, 168, 171, 1629, 186, 2062, 489, 1934, 279, 230, 274]","[3333, 2701, 3822, 3214, 175, 1906, 1656, 603, 444, 699]","[1934, 2062, 274, 1684, 279, 1049, 168, 171, 172, 173, 176, 50, 182, 186, 966, 1094, 345, 1629, 230, 489]",[],[]
1171,"[3872, 4156, 2325, 1049, 2824, 2247, 1631, 3453, 3154, 2662]","[387, 3833, 74, 4068, 2253]",[2247],"[1131, 2247, 2253, 1492, 1291, 262, 387, 38, 376, 1682, 2446, 1280, 544, 1662, 3021, 2428, 392, 370, 723, 1065]","[3872, 2662, 2824, 3154, 2325, 1049, 4156, 3453, 1631]","[1280, 387, 262, 392, 1291, 2446, 1682, 544, 38, 1065, 2253, 3021, 723, 1492, 1131, 370, 376, 2428, 1662]",[],[2247]
491,"[2691, 2292, 1906, 2330, 3748, 4163, 3719, 2091, 623, 1491]","[680, 452, 784, 794, 2059, 512, 1471, 1677, 591]",[],"[1522, 504, 141, 308, 309, 680, 1306, 892, 1677, 540, 433, 93, 338, 890, 899, 310, 1523, 3038, 843, 683]","[4163, 2691, 3748, 3719, 2091, 623, 1906, 1491, 2292, 2330]","[899, 141, 1677, 1306, 540, 680, 683, 433, 308, 309, 310, 843, 338, 93, 3038, 1522, 1523, 504, 890, 892]",[],[]
1455,"[3972, 919, 771, 2956, 4337, 3677, 1440, 2210, 4391, 4335]","[141, 2870, 4469]",[],"[916, 731, 242, 329, 624, 323, 682, 430, 307, 2071, 1086, 912, 285, 337, 1802, 540, 923, 1544, 49, 438]","[1440, 2210, 771, 3972, 4391, 2956, 4335, 4337, 919, 3677]","[1544, 1802, 912, 916, 2071, 923, 540, 285, 682, 430, 49, 307, 438, 1086, 323, 329, 337, 731, 624, 242]",[],[]
1250,"[2455, 3620, 4347, 3841, 4059, 695, 2689, 2936, 3498, 441]","[2251, 261, 4137, 1991, 695, 1141, 2367, 395, 1098]",[],"[262, 345, 41, 910, 426, 1141, 329, 371, 84, 266, 748, 2585, 909, 4311, 1186, 980, 1298, 414, 255, 1156]","[2455, 3841, 2689, 3620, 3498, 4347, 695, 2936, 441, 4059]","[1156, 262, 266, 909, 910, 1298, 2585, 414, 1186, 41, 426, 329, 84, 980, 4311, 345, 748, 371, 1141, 255]",[],[]
433,"[3773, 1392, 2196, 148, 831, 2647, 1884, 3268, 3840, 3334]","[1680, 720, 1673, 2832, 3497]",[],"[997, 251, 995, 1419, 1002, 118, 823, 1679, 3497, 1425, 1320, 723, 1801, 758, 3602, 2974, 1690, 260, 1410, 2445]","[3840, 3268, 3334, 1392, 148, 2196, 2647, 1884, 3773, 831]","[1410, 260, 1801, 1419, 2445, 1679, 1425, 3602, 1690, 2974, 1320, 3497, 823, 723, 995, 997, 1002, 118, 758, 251]",[],[]
1640,"[127, 2010, 2869, 3282, 190, 2458, 4159, 3488, 1375, 4257]","[1164, 2175, 748, 4350, 2367, 45]",[],"[41, 209, 249, 2692, 45, 91, 1401, 50, 49, 430, 617, 38, 925, 717, 3803, 673, 2175, 329, 335, 2167]","[3488, 4257, 2010, 3282, 2869, 2458, 127, 4159, 190, 1375]","[2692, 925, 673, 38, 41, 45, 430, 49, 50, 329, 717, 335, 209, 91, 3803, 249, 617, 2167, 1401, 2175]",[],[]
1566,"[487, 3216, 542, 135, 1201, 2243, 4089, 1952, 2910, 2998]","[437, 2144, 1345, 3278]",[],"[1645, 201, 343, 281, 336, 1936, 274, 827, 2148, 930, 2690, 271, 2647, 341, 1048, 1156, 2283, 1816, 2526, 960]","[1952, 2243, 487, 135, 542, 3216, 1201, 2998, 4089, 2910]","[2690, 1156, 271, 1936, 274, 1816, 281, 1048, 930, 827, 960, 201, 336, 341, 2647, 343, 2526, 2148, 2283, 1645]",[],[]
1131,"[424, 2856, 3644, 3950, 323, 205, 2890, 1335, 2871, 1333]","[989, 3202, 84, 346, 110, 556, 1635]",[],"[1643, 1113, 1675, 989, 3021, 467, 1638, 108, 2034, 437, 124, 376, 463, 4045, 109, 2357, 1688, 2110, 393, 799]","[323, 424, 2856, 2890, 205, 3950, 1333, 2871, 3644, 1335]","[393, 1675, 1688, 799, 437, 2357, 2110, 3021, 4045, 463, 467, 1113, 989, 1638, 1643, 108, 109, 2034, 376, 124]",[],[]
1758,"[225, 852, 4024, 3571, 3260, 4031, 3321, 468, 1739, 2383]","[1707, 1071, 2239, 3616, 2942]",[],"[529, 2220, 2489, 823, 249, 545, 1258, 2281, 3412, 3971, 248, 109, 253, 3324, 2594, 819, 2446, 2135, 1545, 3515]","[225, 1739, 2383, 3571, 852, 468, 4024, 3321, 3260, 4031]","[3971, 1545, 2446, 529, 545, 2594, 2220, 819, 823, 2489, 3515, 3412, 2135, 2281, 1258, 109, 248, 249, 3324, 253]",[],[]
212,"[3725, 70, 2315, 2869, 260, 2877, 557, 2668, 3181, 2583]","[961, 343, 2201]",[],"[960, 672, 402, 181, 673, 961, 687, 495, 274, 1382, 941, 1340, 281, 582, 959, 333, 186, 308, 682, 681]","[260, 70, 2315, 2668, 3725, 557, 3181, 2869, 2583, 2877]","[402, 274, 281, 672, 673, 681, 682, 941, 687, 308, 181, 186, 1340, 959, 960, 961, 582, 333, 1382, 495]",[],[]
1170,"[1851, 2954, 689, 2062, 3850, 3200, 3617, 2907, 4224, 3864]","[372, 1278, 1305, 784, 127, 136]",[],"[141, 49, 628, 904, 335, 448, 2144, 1067, 393, 567, 50, 899, 354, 1001, 357, 1837, 136, 706, 415, 230]","[3200, 3617, 4224, 1851, 3850, 2954, 2062, 689, 3864, 2907]","[899, 904, 393, 136, 141, 415, 1067, 1837, 49, 50, 567, 448, 706, 335, 2144, 354, 357, 230, 1001, 628]",[],[]
1531,"[1034, 3819, 196, 3498, 1307, 340, 4139, 3870, 996, 4369]","[374, 2905, 1337, 102, 890, 2307, 448, 1779, 80, 592, 2581, 440, 938, 1522, 1787]",[],"[102, 540, 890, 374, 744, 435, 80, 1306, 448, 938, 444, 315, 1067, 1519, 939, 2162, 1009, 2893, 745, 2677]","[196, 996, 3498, 1034, 3819, 4139, 4369, 340, 1307, 3870]","[1306, 540, 938, 1067, 939, 435, 315, 444, 448, 2893, 80, 102, 744, 745, 1519, 1009, 2162, 2677, 374, 890]",[],[]
1269,"[1870, 4353, 2677, 2143, 3611, 2889, 1881, 966, 308, 3831]","[4090, 1628, 635, 2293, 780, 415, 230, 247, 3129]",[],"[230, 337, 789, 417, 790, 309, 610, 778, 338, 781, 415, 898, 420, 624, 1690, 777, 303, 248, 283, 677]","[4353, 966, 2889, 1870, 308, 2677, 3831, 1881, 3611, 2143]","[898, 777, 778, 781, 789, 790, 1690, 283, 415, 417, 420, 677, 303, 309, 337, 338, 610, 230, 624, 248]",[],[]
1055,"[2085, 2352, 2945, 3879, 3592, 2859, 1345, 3323, 235, 4232]","[126, 1123, 1298, 1651, 1280, 1291, 1853]",[],"[57, 252, 1669, 2246, 989, 1422, 160, 395, 1280, 1065, 2263, 1284, 126, 385, 1426, 544, 1483, 764, 3284, 1670]","[1345, 2945, 2085, 3879, 3592, 4232, 2859, 235, 2352, 3323]","[1280, 385, 1284, 1669, 1670, 395, 1422, 1426, 160, 544, 1065, 57, 2246, 1483, 3284, 2263, 989, 252, 764, 126]",[],[]
170,"[1344, 1948, 1840, 3058, 2125, 2238, 4000, 1804, 1708, 1929]","[2329, 2274, 838, 467, 802]",[],"[1768, 207, 8, 475, 2536, 530, 1882, 216, 593, 1798, 2260, 1669, 312, 2114, 2665, 2848, 102, 1912, 1535, 3388]","[1344, 4000, 1929, 1804, 2125, 1708, 1840, 3058, 1948, 2238]","[1669, 1798, 8, 530, 2848, 312, 3388, 2114, 207, 593, 2260, 216, 1882, 475, 102, 1768, 2536, 2665, 1912, 1535]",[],[]
657,"[3457, 3870, 3449, 2661, 3701, 699, 473, 4014, 1673, 4159]","[414, 584, 2712, 169, 3495, 2794, 167, 3951, 798]",[],"[584, 324, 827, 1937, 184, 1629, 104, 230, 182, 3075, 1921, 167, 1888, 176, 2789, 975, 492, 3279, 218, 272]","[3457, 2661, 1673, 3449, 4014, 3701, 473, 699, 3870, 4159]","[1921, 3075, 272, 1937, 167, 176, 182, 184, 827, 324, 584, 975, 3279, 218, 1629, 1888, 2789, 230, 104, 492]",[],[]
40,"[3845, 666, 4317, 147, 4163, 3349, 1700, 2895, 853, 3412]","[916, 925, 922, 45, 923, 915, 926]",[],"[916, 922, 45, 915, 1199, 926, 1056, 372, 2849, 2701, 1682, 925, 91, 1302, 2402, 2111, 1385, 1741, 2407, 1681]","[4163, 1700, 3845, 2895, 147, 3412, 3349, 853, 666, 4317]","[2701, 1681, 1682, 915, 916, 1302, 922, 925, 926, 1056, 2849, 45, 1199, 2111, 1741, 91, 2402, 2407, 1385, 372]",[],[]
335,"[3003, 2770, 4443, 666, 12, 3763, 3921, 1371, 570, 1012]","[57, 67, 2706, 761, 2175, 1140]",[],"[460, 761, 1135, 329, 1425, 1741, 1169, 118, 1053, 910, 695, 1669, 38, 3825, 260, 239, 901, 701, 117, 718]","[3003, 12, 3921, 2770, 3763, 1371, 1012, 666, 570, 4443]","[260, 1669, 901, 910, 1425, 1169, 1053, 38, 695, 701, 329, 460, 1741, 718, 1135, 239, 3825, 117, 118, 761]",[],[]
1621,"[1469, 3899, 1631, 1556, 3296, 1477, 688, 523, 2821, 4086]","[620, 898, 1684, 731, 415, 1638, 3704]",[],"[823, 2445, 82, 900, 132, 923, 125, 89, 576, 543, 415, 723, 204, 1684, 141, 975, 114, 257, 248, 828]","[3296, 2821, 1477, 523, 688, 1556, 4086, 3899, 1469, 1631]","[257, 132, 900, 2445, 141, 1684, 923, 543, 415, 823, 828, 576, 204, 975, 82, 723, 89, 114, 248, 125]",[],[]
879,"[1674, 243, 3514, 2227, 1592, 2647, 1399, 334, 1954, 910]","[952, 3348]",[],"[3348, 3352, 330, 2006, 2838, 1845, 1226, 1311, 1844, 2657, 919, 3426, 187, 3997, 3706, 1857, 3355, 1476, 2060, 177]","[1954, 1674, 910, 334, 243, 2227, 2647, 1592, 3514, 1399]","[2060, 3348, 2838, 919, 3352, 3355, 3997, 1311, 177, 1844, 1845, 187, 1857, 1476, 330, 1226, 2006, 2657, 3426, 3706]",[],[]
1107,"[1673, 2916, 479, 4273, 472, 3748, 2917, 734, 3789, 1773]","[3875, 744, 306, 1372, 630, 1866, 507]",[],"[532, 323, 876, 307, 312, 593, 444, 1875, 515, 2377, 504, 890, 630, 208, 1023, 923, 530, 216, 1882, 881]","[3748, 2916, 2917, 1673, 3789, 1773, 4273, 472, 734, 479]","[515, 530, 532, 923, 307, 312, 444, 323, 2377, 208, 593, 1875, 216, 1882, 876, 881, 630, 504, 890, 1023]",[],[]
398,"[3845, 4398, 780, 644, 300, 3558, 2327, 3162, 310, 1664]","[478, 815, 3190, 44, 459, 936, 370, 1133, 933]",[],"[933, 3190, 1741, 2443, 2511, 3334, 270, 459, 457, 370, 40, 1748, 3676, 234, 371, 2110, 44, 1736, 3200, 3492]","[1664, 644, 3845, 3558, 780, 300, 4398, 310, 2327, 3162]","[3200, 3334, 2443, 270, 3492, 933, 40, 44, 2110, 1736, 457, 459, 1741, 2511, 1748, 3676, 234, 370, 371, 3190]",[],[]
1693,"[3503, 2941, 3649, 3796, 930, 4156, 472, 947, 2292, 2494]","[1302, 1130, 460, 3900, 1727]",[],"[460, 370, 1285, 1283, 1282, 385, 1726, 2006, 160, 71, 813, 1062, 1730, 382, 2263, 1302, 1794, 1288, 1068, 2766]","[3649, 930, 3503, 947, 3796, 2292, 472, 4156, 2941, 2494]","[385, 1282, 1283, 1794, 1285, 1288, 1302, 160, 1062, 1068, 813, 1726, 1730, 71, 460, 2766, 2006, 2263, 370, 382]",[],[]
930,"[57, 246, 1999, 2576, 282, 329, 2784, 3902, 303, 1649]","[4095, 4288, 905, 3342, 3260, 1125, 1742, 388, 369]",[],"[369, 114, 371, 125, 3545, 905, 1921, 104, 1775, 723, 388, 118, 3805, 826, 415, 1687, 127, 1125, 1704, 49]","[2784, 329, 303, 2576, 1999, 1649, 246, 57, 282, 3902]","[1921, 388, 905, 1687, 415, 1704, 49, 826, 723, 3545, 3805, 1125, 104, 1775, 369, 114, 371, 118, 125, 127]",[],[]
326,"[24, 1901, 1087, 3564, 2319, 2030, 3845, 3991, 3836, 2455]","[3133, 3129, 182, 2074, 3128, 582, 1855, 3132, 965, 274, 175]",[],"[1393, 492, 685, 582, 676, 182, 428, 1790, 961, 1043, 495, 417, 185, 167, 798, 218, 274, 686, 489, 329]","[3845, 3564, 1901, 2030, 2319, 3991, 2455, 24, 3836, 1087]","[274, 1043, 798, 417, 676, 167, 428, 685, 686, 182, 185, 961, 582, 329, 218, 489, 492, 495, 1393, 1790]",[],[]
1103,"[2507, 2965, 392, 457, 507, 655, 486, 2757, 2855, 2957]","[90, 58, 452, 82, 66, 1652, 704]",[],"[1996, 704, 610, 68, 58, 42, 560, 47, 2303, 1247, 970, 67, 537, 1650, 87, 1254, 580, 651, 1862, 1652]","[2757, 486, 2855, 392, 457, 2507, 2957, 655, 2965, 507]","[651, 537, 42, 47, 560, 58, 704, 67, 68, 580, 1862, 970, 1996, 87, 1247, 610, 1254, 1650, 1652, 2303]",[],[]
1000,"[287, 690, 2102, 3886, 3086, 1365, 757, 1641, 4065, 676]","[2066, 176, 2879]",[],"[2066, 176, 673, 2860, 212, 345, 581, 168, 1385, 411, 1392, 334, 1625, 1267, 3980, 1396, 1408, 617, 2812, 1394]","[4065, 676, 1641, 3086, 3886, 690, 1365, 2102, 757, 287]","[1408, 3980, 2066, 411, 673, 168, 2860, 176, 581, 334, 212, 345, 1625, 1385, 617, 1392, 1394, 1267, 1396, 2812]",[],[]
967,"[1180, 3260, 3514, 274, 4120, 1676, 174, 383, 664, 1940]","[1629, 2613, 1888, 1984, 1391, 492]",[274],"[274, 492, 672, 1340, 961, 673, 489, 681, 976, 676, 685, 176, 1629, 186, 218, 959, 2573, 1894, 3076, 495]","[1676, 174, 3260, 1940, 664, 4120, 3514, 1180, 383]","[3076, 2573, 672, 673, 676, 681, 685, 176, 186, 1340, 959, 961, 976, 218, 1629, 1894, 489, 492, 495]",[],[274]
493,"[2630, 656, 181, 1119, 1647, 576, 2873, 4084, 4341, 593]","[1599, 890, 2027, 3627, 3630]",[],"[896, 890, 2893, 2152, 102, 2180, 2375, 80, 3457, 3664, 1185, 2007, 4394, 2895, 615, 3196, 938, 3270, 1697, 1333]","[576, 2630, 1647, 656, 593, 4084, 181, 4341, 2873, 1119]","[896, 3457, 2180, 1185, 1697, 4394, 938, 1333, 3270, 2375, 2893, 2895, 80, 3664, 2007, 102, 615, 2152, 890, 3196]",[],[]
350,"[3669, 1124, 1895, 1096, 950, 3772, 4337, 4389, 604, 1246]","[1722, 298, 1824, 297, 1336, 300, 3237, 1817, 3238, 2299, 1873]",[],"[1336, 307, 324, 338, 285, 300, 104, 753, 103, 1543, 504, 337, 599, 1873, 2295, 1544, 298, 1814, 876, 744]","[1124, 4389, 1895, 1096, 4337, 3669, 950, 3772, 1246, 604]","[1543, 1544, 1814, 285, 298, 300, 307, 1336, 324, 337, 338, 1873, 599, 103, 104, 744, 876, 753, 2295, 504]",[],[]
1330,"[1860, 2325, 2328, 1806, 729, 2708, 4424, 1331, 1841, 2257]","[1336, 234, 324, 3413, 2120, 2416, 2989, 1810]",[],"[1336, 630, 324, 777, 744, 711, 118, 599, 297, 923, 730, 2121, 1586, 103, 612, 313, 504, 703, 312, 624]","[1860, 4424, 1806, 1841, 2257, 1331, 2708, 2325, 2328, 729]","[777, 923, 297, 1586, 1336, 312, 313, 703, 324, 711, 2121, 599, 730, 612, 103, 744, 624, 630, 118, 504]",[],[]
1022,"[3110, 1179, 1686, 4183, 4, 823, 788, 3725, 2455, 1087]","[510, 1663, 323, 2867, 506, 309, 1236, 511]",[],"[1436, 512, 323, 777, 1019, 504, 467, 511, 1761, 1170, 794, 1546, 510, 472, 1758, 2512, 612, 132, 2786, 3292]","[2455, 4, 3110, 3725, 788, 1686, 823, 4183, 1179, 1087]","[512, 132, 777, 1546, 1170, 794, 1436, 323, 2512, 467, 472, 3292, 1758, 1761, 2786, 612, 504, 1019, 510, 511]",[],[]
413,"[3068, 3367, 1125, 2, 3223, 2802, 911, 3998, 1983, 3452]","[659, 693, 101, 658, 401, 3435]",[],"[101, 67, 47, 659, 61, 641, 705, 645, 580, 663, 2049, 1651, 701, 1996, 144, 58, 2391, 45, 434, 68]","[2, 1125, 3367, 3068, 911, 2802, 3223, 3452, 3998, 1983]","[641, 2049, 645, 144, 659, 663, 45, 47, 434, 58, 61, 701, 705, 67, 580, 68, 1996, 2391, 101, 1651]",[],[]
30,"[3306, 1172, 533, 1790, 774, 2509, 2797, 1797, 670, 219]","[734, 753, 744, 735, 750, 731, 742, 725, 97]",[],"[315, 725, 591, 619, 927, 2367, 2368, 1333, 731, 982, 3031, 744, 2665, 446, 540, 2366, 1921, 1154, 213, 1536]","[1797, 774, 3306, 2509, 2797, 1790, 1172, 533, 219, 670]","[1536, 1921, 1154, 540, 927, 1333, 315, 446, 2367, 2368, 2366, 591, 725, 982, 3031, 213, 731, 744, 2665, 619]",[],[]
1767,"[1832, 412, 2963, 4231, 2391, 2396, 2765, 4091, 2570, 875]","[1248, 4027, 1290, 118, 3603, 57, 2974, 695, 251]",[],"[251, 2253, 258, 925, 2704, 624, 1669, 1679, 2425, 1426, 2251, 2258, 118, 1290, 2737, 2025, 1638, 806, 823, 2302]","[4231, 1832, 2570, 875, 2765, 2963, 2391, 412, 4091, 2396]","[258, 1669, 1290, 1679, 2704, 1426, 925, 806, 2737, 823, 2251, 2253, 2258, 1638, 2025, 624, 118, 2425, 251, 2302]",[],[]
1296,"[91, 3420, 1900, 2122, 452, 1800, 4134, 4353, 3729, 1420]","[899, 167, 4037, 942]",[],"[151, 976, 1628, 181, 168, 570, 186, 1385, 672, 336, 164, 50, 333, 142, 342, 95, 104, 167, 2740, 2402]","[4353, 452, 4134, 1800, 2122, 1900, 1420, 3729, 91, 3420]","[142, 151, 672, 164, 167, 168, 50, 2740, 181, 570, 186, 333, 976, 336, 342, 1628, 95, 2402, 104, 1385]",[],[]
1579,"[1505, 902, 3252, 3793, 722, 838, 3747, 3307, 149, 2411]","[3803, 1098, 2703, 1400, 3031, 2793]",[],"[45, 71, 1053, 245, 345, 916, 2878, 2443, 3121, 419, 2793, 925, 3119, 2690, 1489, 2792, 329, 70, 1628, 725]","[1505, 3747, 902, 838, 3307, 2411, 3793, 722, 3252, 149]","[2690, 2443, 916, 925, 1053, 419, 45, 3119, 3121, 2878, 70, 71, 329, 1489, 725, 345, 1628, 2792, 2793, 245]",[],[]
395,"[2920, 2100, 2810, 2316, 2521, 4403, 4107, 61, 1115, 2782]","[1117, 64, 970, 1660, 435, 658, 58]",[],"[54, 646, 647, 68, 642, 669, 560, 1252, 66, 1254, 662, 705, 663, 1349, 1347, 42, 659, 2822, 62, 58]","[2920, 4107, 2316, 4403, 2100, 2521, 2810, 1115, 61, 2782]","[642, 2822, 646, 647, 659, 662, 663, 669, 42, 560, 54, 58, 62, 705, 66, 1347, 68, 1349, 1252, 1254]",[],[]
1002,"[3968, 2227, 3945, 4371, 1403, 2268, 2981, 720, 3966, 877]","[3789, 907, 1238, 928, 2864]",[],"[624, 80, 454, 438, 204, 1161, 906, 37, 106, 239, 88, 2445, 1481, 731, 415, 346, 2477, 435, 251, 1137]","[3968, 2981, 3945, 877, 720, 2227, 4371, 1403, 2268, 3966]","[1161, 906, 2445, 415, 37, 2477, 435, 438, 454, 1481, 204, 80, 88, 346, 731, 106, 239, 624, 1137, 251]",[],[]
876,"[6, 4162, 4355, 2860, 764, 4025, 4269, 2143, 551, 148]","[204, 999, 2089, 987, 230, 761]",[],"[249, 251, 723, 683, 438, 87, 681, 1385, 823, 962, 1449, 197, 761, 241, 2093, 417, 341, 1921, 672, 430]","[4162, 4355, 6, 551, 2860, 4269, 148, 4025, 764, 2143]","[1921, 672, 417, 681, 1449, 683, 2093, 430, 438, 823, 962, 197, 723, 341, 87, 1385, 241, 761, 249, 251]",[],[]
1697,"[2666, 3717, 1375, 3949, 3732, 54, 4415, 4269, 4291, 1889]","[423, 95, 498, 191, 955]",[],"[341, 65, 498, 965, 104, 1382, 171, 415, 257, 955, 191, 683, 182, 672, 271, 1995, 961, 186, 676, 673]","[1889, 4291, 3717, 1375, 2666, 3949, 4269, 3732, 54, 4415]","[257, 271, 415, 672, 673, 676, 171, 683, 182, 186, 955, 191, 65, 961, 965, 1995, 341, 1382, 104, 498]",[],[]
1615,"[3130, 3628, 2006, 2138, 3725, 3819, 2624, 2754, 2606, 1824]","[2144, 2166, 4201, 335]",[],"[168, 180, 167, 183, 149, 142, 1629, 175, 1275, 485, 1277, 1046, 272, 1048, 589, 50, 185, 190, 1552, 2172]","[2624, 1824, 2754, 3130, 3819, 3628, 3725, 2606, 2006, 2138]","[142, 272, 1552, 149, 1046, 1048, 167, 168, 175, 50, 180, 183, 185, 190, 589, 1629, 485, 1275, 2172, 1277]",[],[]
799,"[3887, 3972, 2985, 1263, 2637, 2667, 1654, 1254, 4306, 1821]","[463, 2161, 3518, 3959, 928, 3411, 3040, 4149]",[],"[2536, 933, 3160, 1434, 733, 808, 2728, 1608, 102, 1113, 473, 1718, 315, 207, 1618, 463, 1697, 1771, 747, 84]","[3972, 1254, 2985, 2667, 2637, 1263, 3887, 4306, 1654, 1821]","[1434, 1697, 933, 808, 2728, 1718, 315, 1608, 207, 463, 1618, 84, 3160, 1113, 473, 733, 102, 2536, 1771, 747]",[],[]
109,"[307, 1942, 4130, 1893, 2761, 2244, 2797, 2302, 2941, 4075]","[1193, 64, 1826, 1067, 1183, 67, 1832, 348, 543]",[],"[930, 348, 452, 890, 1779, 543, 706, 444, 1067, 2478, 1780, 929, 611, 928, 1775, 67, 3102, 624, 606, 1185]","[4130, 2244, 1893, 2761, 4075, 2797, 307, 1942, 2941, 2302]","[3102, 543, 928, 929, 930, 1185, 1067, 2478, 444, 706, 67, 452, 348, 606, 611, 1775, 624, 1779, 1780, 890]",[],[]
1253,"[3374, 2960, 811, 2038, 588, 1843, 2696, 473, 447, 2715]","[4422, 415, 622, 537, 990, 1591, 1177, 4339, 173, 975]",[],"[923, 343, 49, 65, 1064, 202, 437, 249, 87, 2734, 905, 324, 426, 543, 2288, 337, 442, 2283, 706, 827]","[2696, 811, 588, 3374, 2960, 1843, 2038, 473, 2715, 447]","[905, 923, 543, 1064, 426, 2734, 49, 437, 442, 827, 65, 706, 324, 202, 337, 87, 343, 2283, 2288, 249]",[],[]
311,"[383, 2295, 340, 2845, 4136, 2871, 2310, 2922, 45, 3047]","[3088, 292, 2320, 2070, 167, 181, 3084]",[],"[185, 402, 341, 181, 142, 335, 279, 163, 489, 201, 582, 281, 498, 436, 164, 952, 1449, 190, 2070, 1048]","[2310, 3047, 4136, 2922, 45, 340, 2871, 2295, 2845, 383]","[142, 402, 2070, 279, 1048, 281, 163, 164, 1449, 436, 181, 952, 185, 190, 582, 201, 335, 341, 489, 498]",[],[]
1226,"[1199, 2477, 1510, 2014, 3006, 4188, 613, 632, 122, 4474]","[2431, 1636, 3681, 1690, 1669, 1683, 3822, 2445, 1308, 247, 910, 1634]",[],"[1489, 1064, 545, 549, 255, 118, 2110, 3020, 910, 993, 2024, 1410, 823, 258, 1669, 1921, 1385, 1643, 898, 430]","[613, 1510, 122, 2477, 1199, 2014, 632, 4474, 4188, 3006]","[1921, 1410, 258, 898, 1669, 910, 545, 549, 1064, 430, 823, 2110, 3020, 1489, 993, 2024, 1385, 1643, 118, 255]",[],[]
1351,"[2062, 1517, 3295, 651, 2707, 1804, 202, 3943, 3863, 379]","[3200, 2084, 1643, 1134, 2044, 806, 1804]",[],"[1643, 473, 3388, 2034, 2510, 744, 2025, 2041, 808, 3223, 3465, 467, 3820, 3676, 252, 1130, 3996, 1113, 463, 4258]","[3943, 202, 651, 1804, 1517, 2062, 2707, 3863, 379, 3295]","[3465, 3223, 3996, 4258, 808, 3388, 2510, 463, 467, 473, 1113, 3676, 744, 2025, 1130, 1643, 3820, 2034, 2041, 252]",[],[]
1622,"[2631, 3757, 1519, 3999, 2068, 1528, 886, 757, 1577, 2761]","[617, 2175, 4013, 993, 758, 718]",[],"[901, 101, 81, 339, 918, 703, 49, 41, 659, 430, 266, 545, 45, 2393, 702, 718, 655, 67, 2303, 1209]","[2631, 1577, 2761, 3757, 1519, 2068, 757, 886, 1528, 3999]","[901, 266, 655, 659, 918, 545, 41, 45, 430, 49, 1209, 702, 703, 67, 718, 81, 339, 2393, 101, 2303]",[],[]
1428,"[700, 175, 4026, 1962, 1909, 1941, 734, 3684, 2873, 4344]","[722, 3404, 2486, 993, 319, 2785]",[],"[257, 684, 1823, 4251, 784, 3342, 2220, 3256, 308, 216, 731, 1231, 1071, 529, 719, 2089, 2757, 1573, 1995, 1707]","[3684, 1962, 175, 1909, 1941, 4344, 2873, 4026, 700, 734]","[257, 3342, 784, 529, 4251, 1823, 1573, 2089, 1707, 684, 2220, 1071, 308, 3256, 2757, 1995, 1231, 719, 216, 731]",[],[]
1545,"[895, 4373, 2693, 2326, 4464, 1950, 2763, 1967, 2906, 2728]","[3714, 3531, 110, 1248, 2619, 4222]",[],"[537, 438, 3214, 249, 1690, 1634, 1679, 761, 549, 545, 617, 1704, 4294, 929, 87, 3109, 1996, 1308, 384, 624]","[2693, 2728, 2763, 1967, 4464, 4373, 2326, 2906, 1950, 895]","[384, 3214, 1679, 537, 1690, 1308, 545, 929, 549, 3109, 1704, 438, 4294, 1996, 87, 1634, 249, 617, 624, 761]",[],[]
597,"[3577, 2341, 683, 653, 3201, 2247, 1890, 2201, 4113, 1269]","[381, 3864, 3215, 710, 1415, 38, 66, 419, 910, 2175, 3808, 1642]",[],"[1634, 537, 384, 239, 937, 624, 557, 4023, 2034, 1683, 41, 245, 758, 736, 910, 1921, 2001, 2242, 440, 707]","[3201, 1890, 2341, 2247, 683, 653, 3577, 4113, 1269, 2201]","[384, 1921, 910, 1683, 537, 937, 41, 557, 4023, 440, 2242, 707, 2001, 736, 1634, 239, 624, 2034, 245, 758]",[],[]
